@relation handgrasp_object_detection

@attribute T_y real
@attribute T_p real
@attribute T_r real
@attribute I_y real
@attribute I_p real
@attribute I_r real
@attribute M_y real
@attribute M_p real
@attribute M_r real
@attribute R_y real
@attribute R_p real
@attribute R_r real
@attribute P_y real
@attribute P_p real
@attribute P_r real
@attribute B_y real
@attribute B_p real
@attribute B_r real
@attribute Class {bottle_hold,pen_hold,cup_carry,phone_answer,unleash_pen,screw_driver}

@data
283.05, -12.96, 131.02, 247.64, -14.43, 121.42, 151.35, -4.86, 114.68, 189.16, -14.99, 108.89,268.51, 7.01, 109.43,217.72, 2.66, -0.74,screw_driver
283.04, -12.93, 131.00, 247.61, -14.43, 121.39, 151.35, -4.87, 114.71, 189.11, -14.98, 108.85,268.46, 7.02, 109.42,217.66, 2.61, -0.68,screw_driver
283.00, -12.93, 130.99, 247.56, -14.44, 121.38, 151.34, -4.88, 114.72, 189.06, -15.00, 108.81,268.44, 7.04, 109.39,217.63, 2.53, -0.72,screw_driver
282.99, -12.91, 130.98, 247.55, -14.44, 121.36, 151.38, -4.90, 114.75, 189.05, -14.99, 108.78,268.44, 7.04, 109.38,217.61, 2.55, -0.62,screw_driver
283.01, -12.93, 130.98, 247.57, -14.44, 121.35, 151.44, -4.89, 114.76, 189.05, -14.98, 108.78,268.45, 7.04, 109.39,217.59, 2.55, -0.60,screw_driver
282.99, -12.92, 130.98, 247.56, -14.44, 121.34, 151.48, -4.91, 114.78, 189.01, -14.97, 108.74,268.41, 7.08, 109.37,217.56, 2.51, -0.70,screw_driver
282.97, -12.89, 130.98, 247.55, -14.43, 121.31, 151.56, -4.95, 114.80, 188.98, -14.95, 108.73,268.44, 7.09, 109.34,217.57, 2.59, -0.67,screw_driver
282.99, -12.88, 130.98, 247.57, -14.41, 121.31, 151.62, -4.94, 114.79, 188.96, -14.92, 108.73,268.44, 7.10, 109.35,217.55, 2.69, -0.65,screw_driver
282.99, -12.87, 130.99, 247.56, -14.42, 121.31, 151.63, -4.92, 114.80, 188.93, -14.93, 108.72,268.41, 7.09, 109.35,217.52, 2.67, -0.66,screw_driver
282.98, -12.88, 130.99, 247.57, -14.45, 121.31, 151.67, -4.93, 114.83, 188.92, -14.93, 108.70,268.37, 7.10, 109.36,217.48, 2.61, -0.67,screw_driver
282.97, -12.87, 131.00, 247.55, -14.47, 121.31, 151.70, -4.93, 114.86, 188.90, -14.94, 108.68,268.36, 7.09, 109.35,217.47, 2.53, -0.69,screw_driver
282.97, -12.88, 131.01, 247.56, -14.48, 121.31, 151.76, -4.93, 114.88, 188.90, -14.92, 108.68,268.36, 7.09, 109.35,217.48, 2.59, -0.76,screw_driver
282.96, -12.88, 131.01, 247.55, -14.48, 121.31, 151.78, -4.91, 114.88, 188.84, -14.92, 108.68,268.33, 7.08, 109.35,217.43, 2.61, -0.67,screw_driver
282.92, -12.89, 131.01, 247.47, -14.50, 121.33, 151.74, -4.88, 114.89, 188.76, -14.92, 108.68,268.30, 7.07, 109.35,217.39, 2.51, -0.65,screw_driver
282.89, -12.91, 131.00, 247.43, -14.52, 121.33, 151.76, -4.87, 114.92, 188.69, -14.94, 108.69,268.28, 7.06, 109.33,217.37, 2.46, -0.68,screw_driver
282.88, -12.91, 131.00, 247.41, -14.52, 121.34, 151.80, -4.85, 114.92, 188.67, -14.93, 108.70,268.30, 7.03, 109.36,217.40, 2.49, -0.72,screw_driver
282.91, -12.92, 131.01, 247.45, -14.50, 121.34, 151.88, -4.85, 114.91, 188.68, -14.91, 108.69,268.31, 7.06, 109.35,217.41, 2.59, -0.80,screw_driver
282.92, -12.89, 131.01, 247.46, -14.48, 121.33, 151.91, -4.86, 114.92, 188.61, -14.90, 108.69,268.29, 7.08, 109.34,217.39, 2.60, -0.80,screw_driver
282.91, -12.88, 131.01, 247.44, -14.48, 121.33, 151.93, -4.85, 114.92, 188.56, -14.90, 108.69,268.28, 7.07, 109.34,217.40, 2.60, -0.93,screw_driver
282.92, -12.87, 131.00, 247.44, -14.48, 121.32, 151.98, -4.85, 114.93, 188.54, -14.90, 108.69,268.30, 7.06, 109.32,217.40, 2.59, -0.84,screw_driver
282.94, -12.86, 130.98, 247.45, -14.46, 121.30, 152.00, -4.87, 114.92, 188.53, -14.87, 108.65,268.30, 7.09, 109.29,217.38, 2.63, -0.81,screw_driver
282.95, -12.83, 130.96, 247.44, -14.44, 121.28, 152.03, -4.90, 114.92, 188.49, -14.85, 108.61,268.29, 7.12, 109.25,217.35, 2.64, -0.84,screw_driver
282.95, -12.81, 130.94, 247.43, -14.42, 121.26, 152.07, -4.91, 114.92, 188.47, -14.84, 108.61,268.31, 7.11, 109.24,217.36, 2.63, -0.87,screw_driver
282.97, -12.81, 130.94, 247.46, -14.39, 121.27, 152.16, -4.89, 114.90, 188.46, -14.83, 108.62,268.34, 7.11, 109.26,217.38, 2.67, -0.82,screw_driver
283.00, -12.80, 130.93, 247.48, -14.36, 121.25, 152.22, -4.90, 114.89, 188.45, -14.82, 108.61,268.35, 7.13, 109.24,217.38, 2.74, -0.84,screw_driver
283.00, -12.78, 130.92, 247.48, -14.35, 121.25, 152.26, -4.90, 114.90, 188.41, -14.82, 108.62,268.36, 7.11, 109.26,217.38, 2.74, -0.78,screw_driver
283.01, -12.80, 130.92, 247.48, -14.35, 121.29, 152.33, -4.84, 114.89, 188.39, -14.84, 108.66,268.38, 7.08, 109.30,217.41, 2.77, -0.80,screw_driver
283.02, -12.82, 130.91, 247.48, -14.35, 121.29, 152.39, -4.83, 114.91, 188.35, -14.85, 108.68,268.40, 7.05, 109.30,217.42, 2.81, -0.79,screw_driver
283.00, -12.84, 130.90, 247.44, -14.36, 121.30, 152.39, -4.81, 114.92, 188.32, -14.86, 108.68,268.38, 7.04, 109.31,217.37, 2.79, -0.69,screw_driver
282.98, -12.85, 130.89, 247.41, -14.38, 121.30, 152.39, -4.77, 114.93, 188.29, -14.88, 108.66,268.37, 7.03, 109.31,217.37, 2.80, -0.79,screw_driver
282.96, -12.87, 130.88, 247.39, -14.41, 121.31, 152.40, -4.75, 114.96, 188.24, -14.89, 108.67,268.36, 7.01, 109.32,217.36, 2.77, -0.73,screw_driver
282.95, -12.89, 130.88, 247.36, -14.43, 121.32, 152.41, -4.72, 114.97, 188.18, -14.90, 108.67,268.34, 7.01, 109.30,217.33, 2.77, -0.79,screw_driver
282.91, -12.89, 130.87, 247.30, -14.45, 121.29, 152.36, -4.72, 114.99, 188.09, -14.90, 108.62,268.31, 7.04, 109.25,217.30, 2.76, -0.90,screw_driver
282.88, -12.88, 130.86, 247.25, -14.44, 121.27, 152.33, -4.72, 115.01, 188.03, -14.90, 108.60,268.28, 7.03, 109.24,217.28, 2.69, -0.88,screw_driver
282.88, -12.89, 130.87, 247.26, -14.45, 121.27, 152.36, -4.71, 115.02, 187.99, -14.89, 108.58,268.24, 7.04, 109.23,217.23, 2.74, -0.87,screw_driver
282.82, -12.85, 130.86, 247.20, -14.44, 121.25, 152.29, -4.73, 115.03, 187.90, -14.87, 108.51,268.14, 7.07, 109.21,217.16, 2.80, -0.96,screw_driver
282.75, -12.84, 130.85, 247.11, -14.43, 121.28, 152.24, -4.71, 115.04, 187.84, -14.88, 108.52,268.10, 7.03, 109.25,217.13, 2.69, -0.93,screw_driver
282.75, -12.89, 130.84, 247.11, -14.46, 121.31, 152.28, -4.64, 115.05, 187.83, -14.92, 108.56,268.13, 6.97, 109.25,217.15, 2.62, -0.93,screw_driver
282.74, -12.94, 130.83, 247.10, -14.48, 121.31, 152.29, -4.62, 115.06, 187.77, -14.92, 108.56,268.11, 6.96, 109.24,217.12, 2.53, -0.89,screw_driver
282.73, -12.96, 130.84, 247.09, -14.50, 121.34, 152.32, -4.58, 115.07, 187.72, -14.94, 108.60,268.13, 6.92, 109.26,217.11, 2.52, -0.79,screw_driver
282.71, -12.97, 130.84, 247.06, -14.49, 121.34, 152.33, -4.58, 115.07, 187.63, -14.92, 108.58,268.08, 6.94, 109.23,217.08, 2.57, -0.86,screw_driver
282.67, -12.95, 130.83, 247.01, -14.50, 121.32, 152.32, -4.61, 115.10, 187.57, -14.93, 108.57,268.04, 6.92, 109.21,217.05, 2.52, -0.89,screw_driver
282.64, -12.95, 130.82, 246.98, -14.51, 121.33, 152.34, -4.59, 115.09, 187.56, -14.94, 108.55,268.04, 6.92, 109.22,217.04, 2.48, -0.88,screw_driver
282.65, -12.94, 130.81, 247.01, -14.50, 121.33, 152.42, -4.60, 115.10, 187.54, -14.93, 108.55,268.05, 6.92, 109.21,217.03, 2.49, -0.85,screw_driver
282.66, -12.94, 130.79, 247.00, -14.50, 121.30, 152.46, -4.61, 115.11, 187.48, -14.94, 108.56,268.04, 6.91, 109.20,217.00, 2.46, -0.83,screw_driver
282.64, -12.94, 130.79, 246.97, -14.49, 121.31, 152.50, -4.61, 115.11, 187.45, -14.94, 108.56,268.05, 6.90, 109.22,217.00, 2.45, -0.81,screw_driver
282.66, -12.94, 130.81, 247.02, -14.45, 121.33, 152.61, -4.60, 115.10, 187.47, -14.92, 108.57,268.09, 6.91, 109.23,217.04, 2.57, -0.84,screw_driver
282.69, -12.94, 130.82, 247.04, -14.45, 121.32, 152.66, -4.58, 115.09, 187.44, -14.91, 108.56,268.06, 6.94, 109.24,217.00, 2.61, -0.85,screw_driver
282.65, -12.93, 130.82, 246.97, -14.45, 121.33, 152.65, -4.58, 115.10, 187.37, -14.91, 108.55,268.04, 6.92, 109.22,217.00, 2.56, -0.86,screw_driver
282.64, -12.96, 130.82, 246.98, -14.47, 121.34, 152.72, -4.56, 115.12, 187.35, -14.93, 108.58,268.07, 6.90, 109.27,217.00, 2.53, -0.73,screw_driver
282.67, -12.98, 130.84, 247.04, -14.46, 121.37, 152.81, -4.52, 115.12, 187.34, -14.93, 108.61,268.08, 6.88, 109.29,217.01, 2.54, -0.74,screw_driver
282.67, -12.98, 130.84, 247.04, -14.45, 121.36, 152.85, -4.52, 115.11, 187.29, -14.92, 108.59,268.06, 6.90, 109.25,216.97, 2.56, -0.76,screw_driver
282.66, -12.96, 130.82, 247.03, -14.43, 121.33, 152.87, -4.56, 115.13, 187.24, -14.91, 108.56,268.06, 6.93, 109.23,216.93, 2.54, -0.69,screw_driver
282.66, -12.94, 130.82, 247.05, -14.42, 121.32, 152.93, -4.57, 115.14, 187.23, -14.90, 108.55,268.07, 6.93, 109.23,216.93, 2.59, -0.67,screw_driver
282.66, -12.93, 130.82, 247.07, -14.40, 121.31, 152.97, -4.55, 115.12, 187.21, -14.87, 108.52,268.06, 6.96, 109.23,216.89, 2.61, -0.63,screw_driver
282.63, -12.91, 130.82, 247.05, -14.41, 121.30, 152.98, -4.56, 115.13, 187.15, -14.86, 108.49,268.02, 6.97, 109.22,216.84, 2.58, -0.65,screw_driver
282.61, -12.90, 130.82, 247.01, -14.42, 121.28, 152.97, -4.56, 115.15, 187.11, -14.87, 108.46,267.98, 6.98, 109.20,216.79, 2.58, -0.63,screw_driver
282.57, -12.89, 130.82, 246.97, -14.43, 121.28, 152.98, -4.56, 115.17, 187.06, -14.87, 108.47,267.96, 6.97, 109.24,216.78, 2.58, -0.67,screw_driver
282.56, -12.91, 130.84, 246.98, -14.42, 121.30, 153.03, -4.53, 115.18, 187.03, -14.87, 108.46,267.94, 6.95, 109.24,216.76, 2.56, -0.77,screw_driver
282.54, -12.91, 130.84, 246.95, -14.43, 121.29, 153.02, -4.54, 115.19, 186.98, -14.86, 108.44,267.90, 6.96, 109.23,216.75, 2.57, -0.87,screw_driver
282.52, -12.92, 130.84, 246.95, -14.44, 121.28, 153.06, -4.54, 115.21, 186.94, -14.86, 108.46,267.92, 6.93, 109.25,216.79, 2.63, -0.84,screw_driver
282.53, -12.94, 130.86, 246.95, -14.44, 121.31, 153.14, -4.50, 115.22, 186.93, -14.87, 108.49,267.94, 6.91, 109.28,216.79, 2.63, -0.71,screw_driver
282.54, -12.95, 130.85, 246.94, -14.44, 121.31, 153.17, -4.52, 115.23, 186.87, -14.87, 108.45,267.92, 6.93, 109.25,216.77, 2.61, -0.79,screw_driver
282.53, -12.92, 130.83, 246.92, -14.44, 121.27, 153.20, -4.56, 115.25, 186.82, -14.87, 108.42,267.91, 6.94, 109.21,216.75, 2.54, -0.79,screw_driver
282.56, -12.90, 130.81, 246.94, -14.43, 121.25, 153.29, -4.58, 115.25, 186.85, -14.86, 108.41,267.94, 6.94, 109.21,216.79, 2.57, -0.79,screw_driver
282.59, -12.89, 130.79, 246.97, -14.39, 121.25, 153.38, -4.58, 115.23, 186.82, -14.83, 108.42,267.95, 6.94, 109.21,216.79, 2.68, -0.86,screw_driver
282.59, -12.87, 130.77, 246.95, -14.36, 121.24, 153.41, -4.60, 115.23, 186.77, -14.83, 108.39,267.94, 6.96, 109.17,216.76, 2.66, -0.92,screw_driver
282.58, -12.84, 130.75, 246.94, -14.36, 121.20, 153.44, -4.64, 115.24, 186.76, -14.83, 108.35,267.95, 6.98, 109.15,216.77, 2.65, -0.95,screw_driver
282.62, -12.82, 130.75, 247.00, -14.34, 121.20, 153.54, -4.64, 115.23, 186.77, -14.81, 108.36,267.97, 6.98, 109.17,216.81, 2.78, -1.02,screw_driver
282.62, -12.82, 130.75, 246.99, -14.31, 121.19, 153.58, -4.65, 115.23, 186.69, -14.80, 108.35,267.93, 7.00, 109.15,216.77, 2.81, -1.08,screw_driver
282.59, -12.81, 130.74, 246.94, -14.33, 121.18, 153.57, -4.65, 115.24, 186.62, -14.80, 108.34,267.91, 7.01, 109.14,216.75, 2.79, -1.12,screw_driver
282.58, -12.81, 130.74, 246.93, -14.34, 121.18, 153.60, -4.64, 115.26, 186.56, -14.81, 108.34,267.89, 7.00, 109.13,216.73, 2.75, -1.10,screw_driver
282.55, -12.83, 130.75, 246.89, -14.36, 121.18, 153.60, -4.64, 115.28, 186.48, -14.81, 108.34,267.85, 7.01, 109.14,216.72, 2.73, -1.20,screw_driver
282.52, -12.84, 130.76, 246.86, -14.36, 121.18, 153.64, -4.63, 115.28, 186.40, -14.81, 108.34,267.84, 7.01, 109.14,216.71, 2.72, -1.19,screw_driver
282.52, -12.83, 130.77, 246.86, -14.35, 121.17, 153.71, -4.64, 115.29, 186.35, -14.79, 108.34,267.84, 7.03, 109.15,216.70, 2.69, -1.12,screw_driver
282.53, -12.82, 130.79, 246.89, -14.33, 121.17, 153.79, -4.65, 115.30, 186.31, -14.78, 108.35,267.85, 7.04, 109.16,216.71, 2.77, -1.05,screw_driver
282.53, -12.82, 130.81, 246.88, -14.33, 121.18, 153.83, -4.62, 115.28, 186.26, -14.76, 108.36,267.85, 7.04, 109.18,216.69, 2.81, -0.95,screw_driver
282.51, -12.83, 130.82, 246.86, -14.34, 121.19, 153.84, -4.61, 115.29, 186.21, -14.76, 108.38,267.85, 7.04, 109.17,216.68, 2.77, -0.95,screw_driver
282.51, -12.85, 130.83, 246.84, -14.35, 121.20, 153.87, -4.58, 115.30, 186.16, -14.76, 108.39,267.84, 7.03, 109.19,216.67, 2.74, -0.99,screw_driver
282.50, -12.86, 130.85, 246.84, -14.35, 121.21, 153.88, -4.57, 115.32, 186.12, -14.78, 108.39,267.83, 7.02, 109.19,216.65, 2.68, -0.97,screw_driver
282.50, -12.87, 130.85, 246.84, -14.36, 121.21, 153.93, -4.56, 115.34, 186.08, -14.78, 108.40,267.85, 7.02, 109.19,216.65, 2.66, -0.91,screw_driver
282.51, -12.87, 130.87, 246.83, -14.36, 121.21, 153.94, -4.56, 115.34, 186.06, -14.76, 108.39,267.84, 7.05, 109.16,216.61, 2.67, -0.90,screw_driver
282.50, -12.85, 130.86, 246.81, -14.37, 121.19, 153.95, -4.59, 115.37, 186.01, -14.76, 108.38,267.81, 7.06, 109.15,216.59, 2.66, -0.88,screw_driver
282.48, -12.85, 130.86, 246.78, -14.37, 121.19, 153.95, -4.56, 115.37, 185.98, -14.76, 108.36,267.80, 7.06, 109.15,216.59, 2.60, -0.96,screw_driver
282.48, -12.85, 130.85, 246.78, -14.38, 121.17, 154.00, -4.58, 115.38, 185.98, -14.76, 108.32,267.81, 7.09, 109.13,216.59, 2.64, -0.98,screw_driver
282.50, -12.84, 130.84, 246.80, -14.37, 121.16, 154.06, -4.60, 115.39, 185.99, -14.73, 108.31,267.81, 7.09, 109.14,216.57, 2.69, -0.90,screw_driver
282.49, -12.83, 130.84, 246.79, -14.36, 121.15, 154.07, -4.59, 115.39, 185.98, -14.73, 108.27,267.80, 7.10, 109.12,216.56, 2.71, -0.99,screw_driver
282.48, -12.81, 130.83, 246.80, -14.37, 121.12, 154.11, -4.62, 115.43, 186.00, -14.72, 108.24,267.79, 7.12, 109.11,216.52, 2.70, -0.90,screw_driver
282.48, -12.82, 130.81, 246.81, -14.36, 121.11, 154.14, -4.63, 115.44, 185.94, -14.71, 108.24,267.76, 7.12, 109.12,216.51, 2.72, -0.91,screw_driver
282.47, -12.83, 130.81, 246.80, -14.36, 121.14, 154.18, -4.60, 115.45, 185.89, -14.74, 108.29,267.77, 7.08, 109.16,216.50, 2.67, -0.82,screw_driver
282.47, -12.86, 130.82, 246.78, -14.36, 121.17, 154.22, -4.55, 115.44, 185.86, -14.74, 108.31,267.78, 7.07, 109.17,216.52, 2.67, -0.90,screw_driver
282.48, -12.86, 130.81, 246.79, -14.36, 121.17, 154.26, -4.54, 115.44, 185.83, -14.75, 108.33,267.78, 7.04, 109.19,216.51, 2.67, -0.85,screw_driver
282.48, -12.88, 130.82, 246.78, -14.35, 121.20, 154.30, -4.51, 115.44, 185.80, -14.75, 108.34,267.78, 7.03, 109.20,216.54, 2.72, -0.93,screw_driver
282.48, -12.89, 130.81, 246.79, -14.34, 121.20, 154.36, -4.51, 115.45, 185.79, -14.75, 108.33,267.79, 7.03, 109.19,216.55, 2.75, -0.96,screw_driver
282.49, -12.87, 130.79, 246.79, -14.33, 121.18, 154.41, -4.52, 115.46, 185.75, -14.76, 108.32,267.80, 7.03, 109.17,216.56, 2.79, -0.99,screw_driver
282.51, -12.85, 130.78, 246.81, -14.32, 121.18, 154.47, -4.52, 115.47, 185.74, -14.77, 108.32,267.82, 7.03, 109.17,216.57, 2.82, -0.99,screw_driver
282.52, -12.85, 130.76, 246.80, -14.31, 121.17, 154.49, -4.52, 115.48, 185.73, -14.77, 108.28,267.80, 7.04, 109.12,216.52, 2.78, -0.97,screw_driver
282.50, -12.84, 130.75, 246.79, -14.31, 121.13, 154.49, -4.55, 115.51, 185.71, -14.78, 108.24,267.79, 7.05, 109.10,216.51, 2.72, -0.95,screw_driver
282.51, -12.84, 130.74, 246.81, -14.32, 121.13, 154.56, -4.54, 115.52, 185.70, -14.78, 108.26,267.81, 7.04, 109.12,216.53, 2.74, -0.95,screw_driver
282.54, -12.84, 130.73, 246.81, -14.30, 121.13, 154.61, -4.53, 115.53, 185.69, -14.77, 108.24,267.82, 7.06, 109.10,216.54, 2.80, -1.04,screw_driver
282.54, -12.83, 130.71, 246.79, -14.30, 121.09, 154.60, -4.56, 115.54, 185.64, -14.77, 108.20,267.79, 7.08, 109.06,216.51, 2.82, -1.08,screw_driver
282.52, -12.81, 130.71, 246.74, -14.32, 121.08, 154.60, -4.56, 115.56, 185.57, -14.77, 108.21,267.77, 7.07, 109.07,216.51, 2.81, -1.11,screw_driver
282.50, -12.83, 130.71, 246.73, -14.33, 121.10, 154.62, -4.53, 115.56, 185.52, -14.78, 108.22,267.78, 7.06, 109.08,216.51, 2.74, -1.14,screw_driver
282.50, -12.84, 130.70, 246.72, -14.32, 121.09, 154.65, -4.52, 115.55, 185.49, -14.77, 108.21,267.80, 7.07, 109.05,216.51, 2.73, -1.09,screw_driver
282.51, -12.82, 130.69, 246.71, -14.31, 121.06, 154.65, -4.54, 115.54, 185.46, -14.75, 108.18,267.80, 7.11, 109.01,216.49, 2.75, -1.07,screw_driver
282.51, -12.80, 130.68, 246.71, -14.31, 121.05, 154.67, -4.53, 115.53, 185.45, -14.74, 108.18,267.82, 7.09, 109.02,216.50, 2.76, -1.01,screw_driver
282.53, -12.80, 130.68, 246.73, -14.30, 121.08, 154.73, -4.49, 115.51, 185.39, -14.74, 108.21,267.83, 7.08, 109.04,216.49, 2.80, -0.97,screw_driver
282.51, -12.80, 130.67, 246.71, -14.29, 121.07, 154.75, -4.50, 115.52, 185.31, -14.74, 108.19,267.80, 7.10, 109.03,216.47, 2.80, -1.03,screw_driver
282.48, -12.79, 130.66, 246.67, -14.28, 121.05, 154.74, -4.50, 115.52, 185.27, -14.74, 108.16,267.80, 7.11, 109.00,216.46, 2.76, -1.11,screw_driver
282.48, -12.78, 130.65, 246.67, -14.27, 121.05, 154.80, -4.51, 115.52, 185.25, -14.72, 108.16,267.81, 7.13, 109.00,216.48, 2.74, -1.18,screw_driver
282.50, -12.76, 130.67, 246.69, -14.25, 121.06, 154.93, -4.53, 115.52, 185.24, -14.69, 108.20,267.85, 7.14, 109.03,216.53, 2.83, -1.16,screw_driver
282.53, -12.74, 130.69, 246.72, -14.20, 121.07, 155.05, -4.54, 115.50, 185.22, -14.67, 108.22,267.86, 7.14, 109.06,216.54, 2.94, -1.12,screw_driver
282.52, -12.73, 130.69, 246.72, -14.19, 121.07, 155.07, -4.54, 115.50, 185.16, -14.66, 108.20,267.82, 7.15, 109.06,216.50, 2.98, -1.19,screw_driver
282.48, -12.74, 130.70, 246.66, -14.20, 121.08, 155.05, -4.51, 115.51, 185.10, -14.68, 108.20,267.80, 7.13, 109.07,216.50, 2.92, -1.22,screw_driver
282.47, -12.75, 130.71, 246.65, -14.22, 121.09, 155.08, -4.50, 115.53, 185.07, -14.67, 108.20,267.79, 7.13, 109.06,216.49, 2.88, -1.16,screw_driver
282.45, -12.75, 130.70, 246.63, -14.21, 121.07, 155.08, -4.51, 115.53, 185.02, -14.65, 108.17,267.78, 7.16, 109.04,216.49, 2.90, -1.25,screw_driver
282.46, -12.74, 130.71, 246.65, -14.20, 121.07, 155.13, -4.51, 115.54, 185.01, -14.65, 108.17,267.80, 7.15, 109.03,216.50, 2.88, -1.16,screw_driver
282.50, -12.73, 130.71, 246.70, -14.18, 121.06, 155.22, -4.52, 115.54, 185.02, -14.64, 108.16,267.81, 7.18, 109.02,216.51, 2.93, -1.12,screw_driver
282.52, -12.71, 130.71, 246.71, -14.17, 121.05, 155.27, -4.51, 115.54, 185.00, -14.63, 108.15,267.83, 7.17, 109.01,216.50, 2.90, -1.09,screw_driver
282.53, -12.71, 130.70, 246.71, -14.16, 121.05, 155.31, -4.50, 115.55, 184.97, -14.62, 108.16,267.85, 7.17, 109.02,216.50, 2.86, -1.00,screw_driver
282.53, -12.72, 130.72, 246.72, -14.15, 121.07, 155.36, -4.47, 115.54, 184.94, -14.60, 108.18,267.87, 7.16, 109.05,216.51, 2.88, -0.99,screw_driver
282.54, -12.73, 130.73, 246.75, -14.14, 121.08, 155.43, -4.45, 115.54, 184.92, -14.60, 108.19,267.89, 7.17, 109.07,216.52, 2.96, -0.97,screw_driver
282.54, -12.73, 130.73, 246.73, -14.15, 121.09, 155.46, -4.45, 115.56, 184.89, -14.61, 108.19,267.87, 7.17, 109.08,216.50, 2.96, -0.96,screw_driver
282.52, -12.74, 130.75, 246.70, -14.18, 121.11, 155.49, -4.41, 115.58, 184.82, -14.63, 108.23,267.88, 7.13, 109.11,216.50, 2.95, -0.94,screw_driver
282.50, -12.77, 130.76, 246.68, -14.21, 121.15, 155.51, -4.36, 115.60, 184.77, -14.66, 108.26,267.87, 7.09, 109.14,216.48, 2.87, -0.86,screw_driver
282.48, -12.82, 130.76, 246.66, -14.25, 121.18, 155.52, -4.32, 115.62, 184.74, -14.70, 108.28,267.86, 7.06, 109.16,216.47, 2.79, -0.86,screw_driver
282.46, -12.84, 130.76, 246.63, -14.27, 121.18, 155.53, -4.30, 115.64, 184.68, -14.70, 108.28,267.85, 7.06, 109.15,216.45, 2.74, -0.82,screw_driver
282.46, -12.85, 130.77, 246.64, -14.29, 121.17, 155.57, -4.31, 115.67, 184.65, -14.71, 108.29,267.85, 7.06, 109.17,216.47, 2.80, -0.85,screw_driver
282.45, -12.86, 130.78, 246.63, -14.30, 121.18, 155.60, -4.28, 115.68, 184.61, -14.72, 108.30,267.86, 7.05, 109.17,216.46, 2.77, -0.82,screw_driver
282.44, -12.88, 130.77, 246.61, -14.32, 121.16, 155.61, -4.28, 115.71, 184.59, -14.73, 108.27,267.85, 7.06, 109.14,216.47, 2.71, -0.93,screw_driver
282.45, -12.88, 130.77, 246.63, -14.33, 121.15, 155.65, -4.29, 115.74, 184.59, -14.72, 108.27,267.87, 7.03, 109.14,216.48, 2.70, -0.97,screw_driver
282.47, -12.88, 130.77, 246.65, -14.31, 121.15, 155.69, -4.28, 115.73, 184.56, -14.71, 108.26,267.86, 7.04, 109.14,216.48, 2.74, -0.98,screw_driver
282.46, -12.87, 130.75, 246.63, -14.31, 121.12, 155.70, -4.30, 115.75, 184.49, -14.72, 108.22,267.83, 7.05, 109.11,216.44, 2.74, -0.97,screw_driver
282.43, -12.87, 130.75, 246.59, -14.33, 121.13, 155.71, -4.28, 115.77, 184.42, -14.75, 108.24,267.82, 7.03, 109.14,216.43, 2.67, -0.94,screw_driver
282.41, -12.91, 130.74, 246.58, -14.35, 121.16, 155.74, -4.24, 115.78, 184.39, -14.77, 108.25,267.83, 7.00, 109.16,216.44, 2.61, -0.97,screw_driver
282.43, -12.93, 130.73, 246.60, -14.34, 121.17, 155.81, -4.24, 115.78, 184.39, -14.78, 108.26,267.86, 6.99, 109.17,216.47, 2.64, -0.98,screw_driver
282.43, -12.92, 130.73, 246.61, -14.33, 121.17, 155.90, -4.24, 115.78, 184.38, -14.77, 108.27,267.86, 6.99, 109.19,216.47, 2.68, -0.88,screw_driver
282.43, -12.92, 130.74, 246.61, -14.31, 121.18, 155.98, -4.24, 115.78, 184.34, -14.77, 108.29,267.89, 6.98, 109.20,216.49, 2.74, -0.89,screw_driver
282.44, -12.91, 130.72, 246.61, -14.30, 121.18, 156.01, -4.22, 115.78, 184.29, -14.78, 108.28,267.87, 6.98, 109.20,216.49, 2.77, -0.95,screw_driver
282.42, -12.90, 130.70, 246.59, -14.30, 121.18, 156.02, -4.22, 115.79, 184.23, -14.80, 108.26,267.85, 6.99, 109.18,216.47, 2.75, -1.06,screw_driver
282.41, -12.90, 130.68, 246.59, -14.30, 121.15, 156.05, -4.24, 115.80, 184.18, -14.80, 108.24,267.85, 7.02, 109.13,216.45, 2.73, -1.06,screw_driver
282.41, -12.87, 130.67, 246.58, -14.28, 121.11, 156.07, -4.27, 115.81, 184.14, -14.78, 108.20,267.83, 7.05, 109.09,216.43, 2.79, -1.08,screw_driver
282.39, -12.86, 130.67, 246.56, -14.28, 121.08, 156.08, -4.29, 115.84, 184.11, -14.78, 108.16,267.80, 7.07, 109.09,216.39, 2.80, -1.08,screw_driver
282.38, -12.85, 130.67, 246.55, -14.29, 121.08, 156.09, -4.28, 115.86, 184.09, -14.78, 108.15,267.77, 7.07, 109.10,216.37, 2.72, -1.12,screw_driver
282.38, -12.85, 130.67, 246.56, -14.30, 121.06, 156.11, -4.29, 115.88, 184.07, -14.78, 108.13,267.77, 7.07, 109.07,216.37, 2.66, -1.06,screw_driver
282.39, -12.85, 130.68, 246.58, -14.30, 121.07, 156.17, -4.28, 115.88, 184.05, -14.77, 108.15,267.79, 7.05, 109.11,216.40, 2.74, -1.05,screw_driver
282.40, -12.86, 130.70, 246.58, -14.29, 121.08, 156.21, -4.25, 115.88, 184.02, -14.76, 108.15,267.77, 7.05, 109.11,216.39, 2.77, -1.08,screw_driver
282.37, -12.86, 130.69, 246.54, -14.31, 121.08, 156.19, -4.23, 115.89, 183.97, -14.77, 108.13,267.75, 7.04, 109.09,216.37, 2.68, -1.09,screw_driver
