@relation handgrasp_object_detection

@attribute T_y real
@attribute T_p real
@attribute T_r real
@attribute I_y real
@attribute I_p real
@attribute I_r real
@attribute M_y real
@attribute M_p real
@attribute M_r real
@attribute R_y real
@attribute R_p real
@attribute R_r real
@attribute P_y real
@attribute P_p real
@attribute P_r real
@attribute B_y real
@attribute B_p real
@attribute B_r real
@attribute Class {bottle_hold,pen_hold,cup_carry,phone_answer,unleash_pen,screw_driver}

@data
241.88, 75.49, -15.76, 226.63, 67.91, -4.10, 202.72, -28.16, 4.75, 248.16, 58.26, 3.92,234.65, 78.90, -49.06,247.24, 63.82, -64.46,bottle_hold
241.85, 75.50, -15.74, 226.50, 67.96, -4.13, 202.71, -28.15, 4.75, 248.11, 58.32, 3.93,234.55, 78.92, -49.16,247.25, 63.82, -64.44,bottle_hold
241.77, 75.51, -15.78, 226.20, 67.98, -4.36, 202.69, -28.16, 4.75, 248.09, 58.36, 3.94,234.45, 78.95, -49.28,247.24, 63.83, -64.46,bottle_hold
241.69, 75.52, -15.82, 225.98, 68.00, -4.51, 202.68, -28.18, 4.74, 248.05, 58.34, 3.98,234.52, 78.93, -49.20,247.25, 63.82, -64.44,bottle_hold
241.54, 75.55, -15.91, 225.83, 68.01, -4.55, 202.66, -28.20, 4.72, 247.98, 58.36, 3.94,234.59, 78.92, -49.10,247.25, 63.81, -64.43,bottle_hold
241.46, 75.55, -15.94, 225.62, 68.02, -4.65, 202.64, -28.19, 4.71, 247.93, 58.41, 3.90,234.57, 78.89, -49.09,247.27, 63.80, -64.42,bottle_hold
241.27, 75.54, -16.11, 225.35, 68.04, -4.82, 202.63, -28.17, 4.71, 247.84, 58.42, 3.87,234.64, 78.88, -49.02,247.29, 63.80, -64.40,bottle_hold
241.22, 75.56, -16.10, 225.06, 68.05, -5.06, 202.61, -28.16, 4.70, 247.82, 58.42, 3.94,234.70, 78.86, -48.95,247.28, 63.81, -64.42,bottle_hold
241.20, 75.56, -16.05, 224.97, 68.07, -5.08, 202.58, -28.18, 4.69, 247.76, 58.45, 3.91,234.61, 78.87, -49.01,247.25, 63.82, -64.45,bottle_hold
241.05, 75.55, -16.13, 224.93, 68.07, -4.98, 202.56, -28.22, 4.67, 247.71, 58.44, 3.91,234.63, 78.86, -48.94,247.24, 63.82, -64.46,bottle_hold
240.94, 75.58, -16.19, 224.78, 68.09, -4.98, 202.54, -28.23, 4.67, 247.63, 58.46, 3.85,234.68, 78.87, -48.88,247.27, 63.82, -64.43,bottle_hold
240.91, 75.60, -16.16, 224.63, 68.10, -4.99, 202.52, -28.23, 4.67, 247.64, 58.44, 3.93,234.76, 78.86, -48.80,247.25, 63.83, -64.45,bottle_hold
240.76, 75.61, -16.27, 224.44, 68.07, -5.07, 202.49, -28.25, 4.68, 247.57, 58.51, 3.89,234.71, 78.86, -48.86,247.29, 63.81, -64.40,bottle_hold
240.62, 75.63, -16.38, 224.27, 68.07, -5.11, 202.46, -28.27, 4.66, 247.49, 58.55, 3.83,234.85, 78.84, -48.69,247.30, 63.81, -64.39,bottle_hold
